begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
04/12/2095,07/12/2095,4,2.2,2.4,0.1,1.9,2095
26/12/2095,28/12/2095,3,3.4,0.7,2.9,2.5,2095
25/01/2096,28/01/2096,4,4.4,1.1,2.8,1.5,2096
03/12/2096,06/12/2096,4,3.6,2.4,0.6,1.8,2096
14/02/2097,16/02/2097,3,-0.5,2.6,-2.5,2.0,2097
19/12/2097,22/12/2097,4,3.2,1.2,2.0,1.8,2097
26/12/2097,28/12/2097,3,3.4,1.1,2.3,2.5,2097
04/01/2098,08/01/2098,5,3.5,1.5,1.2,1.9,2098
18/01/2098,20/01/2098,3,2.2,1.9,0.0,2.0,2098
10/01/2099,13/01/2099,4,3.9,1.0,3.0,2.2,2099
09/02/2099,11/02/2099,3,2.1,2.9,-0.9,3.0,2099
21/12/2099,23/12/2099,3,3.9,2.4,1.1,1.8,2099
28/12/2099,31/12/2099,4,4.2,1.2,2.4,2.5,2099
03/02/2100,07/02/2100,5,3.3,1.9,0.1,3.1,2100
12/12/2100,15/12/2100,4,3.8,1.4,2.0,1.8,2100
