begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
05/02/2060,07/02/2060,3,-5.6,2.7,-8.8,1.9,2060
12/02/2060,14/02/2060,3,-1.3,0.5,-1.8,3.2,2060
26/12/2060,28/12/2060,3,-3.6,0.7,-4.1,1.9,2060
01/01/2061,10/01/2061,10,-4.7,2.2,-9.5,1.7,2061
28/01/2061,31/01/2061,4,-4.6,1.3,-5.9,1.4,2061
12/02/2061,16/02/2061,5,-4.2,2.0,-6.9,2.6,2061
08/01/2062,10/01/2062,3,-3.4,0.8,-4.4,1.5,2062
15/01/2062,18/01/2062,4,-2.9,1.0,-4.3,2.2,2062
24/01/2062,28/01/2062,5,-6.3,2.1,-9.7,1.7,2062
14/02/2062,17/02/2062,4,-5.1,1.0,-6.2,2.0,2062
01/12/2062,04/12/2062,4,-4.1,1.2,-5.7,1.6,2062
09/01/2063,13/01/2063,5,-3.2,2.1,-5.4,1.7,2063
19/01/2063,21/01/2063,3,-1.2,1.1,-2.4,1.3,2063
05/12/2063,07/12/2063,3,-3.8,2.7,-6.4,1.8,2063
12/01/2064,16/01/2064,5,-4.9,1.8,-7.5,2.3,2064
30/01/2064,04/02/2064,6,-6.2,3.2,-12.2,1.7,2064
06/02/2064,09/02/2064,4,-5.8,0.4,-6.5,2.0,2064
21/02/2064,23/02/2064,3,-8.8,3.0,-11.0,1.6,2064
19/12/2064,21/12/2064,3,-2.9,0.3,-3.3,1.9,2064
17/01/2065,20/01/2065,4,-2.6,1.4,-4.1,1.3,2065
26/01/2065,28/01/2065,3,-2.5,2.0,-4.8,1.9,2065
29/11/2065,01/12/2065,3,-1.8,1.7,-3.8,1.9,2065
23/12/2065,26/12/2065,4,-1.9,0.6,-2.5,1.4,2065
15/01/2066,20/01/2066,6,-5.7,3.7,-11.7,1.8,2066
27/01/2066,29/01/2066,3,-3.9,1.8,-5.6,1.6,2066
06/02/2066,08/02/2066,3,-5.7,4.1,-9.9,2.1,2066
22/02/2066,27/02/2066,6,-3.6,1.7,-5.3,1.7,2066
04/01/2067,06/01/2067,3,-3.6,1.1,-4.7,2.2,2067
16/01/2067,20/01/2067,5,-4.4,1.6,-6.4,1.4,2067
10/02/2067,12/02/2067,3,-4.3,1.9,-5.4,4.1,2067
18/02/2067,21/02/2067,4,-3.8,1.2,-5.3,1.8,2067
23/02/2067,25/02/2067,3,-5.9,0.9,-6.5,1.4,2067
02/01/2068,05/01/2068,4,-2.7,0.8,-3.7,1.7,2068
12/01/2068,14/01/2068,3,-1.6,1.0,-2.8,2.0,2068
24/01/2068,31/01/2068,8,-7.3,2.0,-10.1,1.5,2068
05/02/2068,07/02/2068,3,-2.4,1.2,-3.7,1.8,2068
10/02/2068,12/02/2068,3,-3.6,1.0,-4.7,4.1,2068
29/12/2068,31/12/2068,3,-3.0,1.6,-4.0,1.2,2068
13/01/2069,18/01/2069,6,-3.6,2.3,-6.6,2.1,2069
30/01/2069,03/02/2069,5,-4.1,2.4,-7.2,1.3,2069
15/02/2069,19/02/2069,5,-2.9,2.0,-5.8,1.9,2069
22/02/2069,24/02/2069,3,-2.6,0.6,-3.3,1.5,2069
26/02/2069,28/02/2069,3,-4.9,2.4,-7.5,2.2,2069
04/12/2069,06/12/2069,3,-2.8,1.1,-3.7,2.0,2069
13/01/2070,19/01/2070,7,-4.0,2.3,-6.8,1.9,2070
21/01/2070,28/01/2070,8,-4.0,1.8,-6.4,1.8,2070
12/02/2070,14/02/2070,3,-4.6,1.8,-6.7,3.2,2070
27/12/2070,29/12/2070,3,-2.6,1.7,-4.3,2.0,2070
12/01/2071,27/01/2071,16,-5.1,2.8,-11.7,1.8,2071
16/02/2071,26/02/2071,11,-5.9,1.0,-7.8,1.6,2071
01/01/2072,10/01/2072,10,-4.1,2.8,-8.1,1.7,2072
14/01/2072,19/01/2072,6,-4.8,1.6,-6.8,1.9,2072
03/02/2072,10/02/2072,8,-5.9,3.8,-12.5,2.0,2072
01/01/2073,09/01/2073,9,-5.3,2.1,-8.1,1.8,2073
29/01/2073,31/01/2073,3,-1.8,1.8,-3.9,1.1,2073
03/02/2073,06/02/2073,4,-3.1,3.6,-8.4,2.2,2073
10/02/2073,12/02/2073,3,-9.3,4.7,-13.6,4.1,2073
14/02/2073,16/02/2073,3,-2.8,0.7,-3.5,2.1,2073
22/02/2073,24/02/2073,3,-0.5,0.1,-0.6,1.4,2073
22/12/2073,25/12/2073,4,-1.8,0.7,-2.7,1.3,2073
02/01/2074,04/01/2074,3,-3.1,1.8,-5.2,1.5,2074
09/01/2074,14/01/2074,6,-2.9,2.2,-5.9,1.8,2074
18/01/2074,21/01/2074,4,-3.2,3.0,-6.3,1.3,2074
26/01/2074,30/01/2074,5,-2.5,2.4,-6.2,1.6,2074
03/12/2074,05/12/2074,3,-1.1,1.8,-3.1,1.9,2074
13/12/2074,15/12/2074,3,-4.2,3.1,-6.2,1.7,2074
24/01/2075,26/01/2075,3,-1.5,0.5,-2.1,1.6,2075
13/02/2075,16/02/2075,4,-3.6,2.0,-6.2,2.2,2075
18/02/2075,20/02/2075,3,-2.0,2.8,-5.2,1.9,2075
25/02/2075,27/02/2075,3,-2.4,2.9,-5.7,2.0,2075
07/12/2075,11/12/2075,5,-2.5,1.5,-4.0,2.1,2075
24/12/2075,26/12/2075,3,-0.7,0.5,-1.2,1.4,2075
09/01/2076,11/01/2076,3,-2.3,0.4,-2.8,1.6,2076
15/01/2076,17/01/2076,3,-4.2,2.8,-6.9,2.5,2076
21/01/2076,28/01/2076,8,-3.4,1.0,-4.7,1.8,2076
07/02/2076,11/02/2076,5,-7.7,4.0,-11.0,2.7,2076
15/02/2076,19/02/2076,5,-4.6,2.5,-6.7,1.9,2076
06/01/2077,10/01/2077,5,-6.5,2.0,-8.1,1.8,2077
19/01/2077,31/01/2077,13,-5.0,2.0,-8.0,1.6,2077
14/02/2077,16/02/2077,3,-5.4,4.2,-10.2,2.1,2077
24/12/2077,26/12/2077,3,-5.1,2.2,-7.5,1.4,2077
02/01/2078,04/01/2078,3,-2.1,0.9,-3.1,1.5,2078
12/01/2078,15/01/2078,4,-4.4,2.4,-6.5,2.5,2078
22/01/2078,30/01/2078,9,-2.7,1.0,-4.3,1.7,2078
18/02/2078,20/02/2078,3,-3.9,0.2,-4.1,1.9,2078
23/02/2078,26/02/2078,4,-4.2,1.0,-5.1,1.3,2078
29/12/2078,31/12/2078,3,-1.0,0.2,-1.2,1.2,2078
03/01/2079,09/01/2079,7,-3.5,2.4,-7.0,1.8,2079
14/01/2079,16/01/2079,3,-3.2,1.5,-4.9,2.6,2079
22/01/2079,27/01/2079,6,-1.4,0.5,-2.1,1.8,2079
07/02/2079,12/02/2079,6,-2.7,1.6,-5.4,3.0,2079
23/02/2079,25/02/2079,3,-2.0,2.5,-4.9,1.4,2079
21/12/2079,25/12/2079,5,-0.8,0.9,-2.4,1.3,2079
01/01/2080,05/01/2080,5,-5.9,1.5,-7.6,1.7,2080
11/01/2080,23/01/2080,13,-5.9,1.5,-7.7,1.9,2080
08/02/2080,10/02/2080,3,-5.2,2.7,-8.2,1.6,2080
14/02/2080,17/02/2080,4,-5.7,2.6,-8.9,2.0,2080
03/01/2081,08/01/2081,6,-4.0,2.2,-5.7,1.9,2081
11/01/2081,15/01/2081,5,-1.3,1.1,-2.6,2.4,2081
28/01/2081,30/01/2081,3,-4.8,1.8,-6.6,1.5,2081
21/02/2081,26/02/2081,6,-7.8,2.1,-9.9,1.5,2081
28/03/2081,30/03/2081,3,-4.3,3.7,-6.8,3.9,2081
01/12/2081,06/12/2081,6,-1.4,1.0,-2.5,1.7,2081
01/01/2082,03/01/2082,3,-7.2,2.9,-9.2,1.5,2082
09/01/2082,12/01/2082,4,-3.3,1.9,-4.9,1.6,2082
28/01/2082,31/01/2082,4,-3.6,1.7,-5.3,1.4,2082
12/02/2082,16/02/2082,5,-2.2,3.0,-6.1,2.6,2082
03/01/2083,10/01/2083,8,-2.7,1.8,-4.7,1.7,2083
27/01/2083,31/01/2083,5,-1.0,1.7,-2.8,1.4,2083
11/02/2083,14/02/2083,4,-5.5,0.7,-6.1,4.0,2083
25/02/2083,28/02/2083,4,-2.3,2.4,-5.5,2.0,2083
14/12/2083,16/12/2083,3,-0.2,0.9,-0.9,1.7,2083
03/01/2084,15/01/2084,13,-6.8,1.7,-9.9,2.0,2084
29/01/2084,31/01/2084,3,-6.2,0.1,-6.3,1.2,2084
02/02/2084,09/02/2084,8,-3.0,1.7,-5.2,2.0,2084
09/12/2084,11/12/2084,3,-1.8,0.4,-2.1,2.5,2084
03/01/2085,06/01/2085,4,-0.2,0.5,-0.7,2.0,2085
27/01/2085,31/01/2085,5,-3.9,1.6,-5.3,1.4,2085
11/12/2085,14/12/2085,4,-0.1,0.6,-0.9,3.2,2085
01/01/2086,03/01/2086,3,-2.4,1.4,-3.4,1.6,2086
